,Subject_ID,Start,Stop,PI
0,TnAs3|Tn3,14302,18807,99.743
3,ISMpo10|Tn3,43586,43648,87.302
5,ISShes11|Tn3,46066,46878,85.298
10,ISRsp12|Tn3,53347,53407,88.525
8,IS1071|Tn3,43763,52945,100.0
7,ISPa40|Tn3,46928,52452,95.11875
6,TnAs2|Tn3,43490,62803,91.00025
