,Subject_ID,Start,Stop,PI
0,ISEc63|Tn3,4191,10171,98.1555
3,ISKpn37|IS3,14932,15029,89.796
8,ISCro1|IS66,25531,26818,89.16650000000001
5,IS1312|IS3,27779,27826,87.5
4,IS10R|IS4,15030,24176,99.398
