,Subject_ID,Start,Stop,PI
0,IS1R|IS1,5433,6200,100.0
2,IS1R|IS1,15335,16102,100.0
1,IS1326|IS21,28425,30894,100.0
3,ISMex39|IS21,29097,29151,87.5
4,ISShes11|Tn3,35472,36490,99.509
9,ISSf1|IS5,39839,39873,97.143
7,IS1R|IS1,40664,41431,100.0
10,TnEc1|Tn3,42083,42121,92.308
8,ISSba14|Tn3,42133,42171,92.308
11,IS10R|IS4,73051,74379,100.0
